Date,Close
1/14/2016 16:00:00,1921.84
1/15/2016 16:00:00,1880.33
1/19/2016 16:00:00,1881.33
1/20/2016 16:00:00,1859.33
1/21/2016 16:00:00,1868.99
1/22/2016 16:00:00,1906.9
1/25/2016 16:00:00,1877.08
1/26/2016 16:00:00,1903.63
1/27/2016 16:00:00,1882.95
1/28/2016 16:00:00,1893.36
1/29/2016 16:00:00,1940.24
2/1/2016 16:00:00,1939.38
2/2/2016 16:00:00,1903.03
2/3/2016 16:00:00,1912.53
2/4/2016 16:00:00,1915.45
2/5/2016 16:00:00,1880.05
2/8/2016 16:00:00,1853.44
2/9/2016 16:00:00,1852.21
2/10/2016 16:00:00,1851.86
2/11/2016 16:00:00,1829.08
2/12/2016 16:00:00,1864.78
2/16/2016 16:00:00,1895.58
2/17/2016 16:00:00,1926.82
2/18/2016 16:00:00,1917.83
2/19/2016 16:00:00,1917.78
2/22/2016 16:00:00,1945.5
2/23/2016 16:00:00,1921.27
2/24/2016 16:00:00,1929.8
2/25/2016 16:00:00,1951.7
2/26/2016 16:00:00,1948.05
2/29/2016 16:00:00,1932.23
3/1/2016 16:00:00,1978.35
3/2/2016 16:00:00,1986.45
3/3/2016 16:00:00,1993.4
3/4/2016 16:00:00,1999.99
3/7/2016 16:00:00,2001.76
3/8/2016 16:00:00,1979.26
3/9/2016 16:00:00,1989.26
3/10/2016 16:00:00,1989.57
3/11/2016 16:00:00,2022.19
3/14/2016 16:00:00,2019.64
3/15/2016 16:00:00,2015.93
3/16/2016 16:00:00,2027.22
3/17/2016 16:00:00,2040.59
3/18/2016 16:00:00,2049.58
3/21/2016 16:00:00,2051.6
3/22/2016 16:00:00,2049.8
3/23/2016 16:00:00,2036.71
3/24/2016 16:00:00,2035.94
3/28/2016 16:00:00,2037.05
3/29/2016 16:00:00,2055.01
3/30/2016 16:00:00,2063.95
3/31/2016 16:00:00,2059.74
4/1/2016 16:00:00,2072.78
4/4/2016 16:00:00,2066.13
4/5/2016 16:00:00,2045.17
4/6/2016 16:00:00,2066.66
4/7/2016 16:00:00,2041.91
4/8/2016 16:00:00,2047.6
4/11/2016 16:00:00,2041.99
4/12/2016 16:00:00,2061.72
4/13/2016 16:00:00,2082.42
4/14/2016 16:00:00,2082.78
4/15/2016 16:00:00,2080.73
4/18/2016 16:00:00,2094.34
4/19/2016 16:00:00,2100.8
4/20/2016 16:00:00,2102.4
4/21/2016 16:00:00,2091.48
4/22/2016 16:00:00,2091.58
4/25/2016 16:00:00,2087.79
4/26/2016 16:00:00,2091.7
4/27/2016 16:00:00,2095.15
4/28/2016 16:00:00,2075.81
4/29/2016 16:00:00,2065.3
5/2/2016 16:00:00,2081.43
5/3/2016 16:00:00,2063.37
5/4/2016 16:00:00,2051.12
5/5/2016 16:00:00,2050.63
5/6/2016 16:00:00,2057.14
5/9/2016 16:00:00,2058.69
5/10/2016 16:00:00,2084.39
5/11/2016 16:00:00,2064.46
5/12/2016 16:00:00,2064.11
5/13/2016 16:00:00,2046.61
5/16/2016 16:00:00,2066.66
5/17/2016 16:00:00,2047.21
5/18/2016 16:00:00,2047.63
5/19/2016 16:00:00,2040.04
5/20/2016 16:00:00,2052.32
5/23/2016 16:00:00,2048.04
5/24/2016 16:00:00,2076.06
5/25/2016 16:00:00,2090.54
5/26/2016 16:00:00,2090.1
5/27/2016 16:00:00,2099.06
5/31/2016 16:00:00,2096.96
6/1/2016 16:00:00,2099.33
6/2/2016 16:00:00,2105.26
6/3/2016 16:00:00,2099.13
6/6/2016 16:00:00,2109.41
6/7/2016 16:00:00,2112.13
6/8/2016 16:00:00,2119.12
6/9/2016 16:00:00,2115.48
6/10/2016 16:00:00,2096.07
6/13/2016 16:00:00,2079.06
6/14/2016 16:00:00,2075.32
6/15/2016 16:00:00,2071.5
6/16/2016 16:00:00,2077.99
6/17/2016 16:00:00,2071.22
6/20/2016 16:00:00,2083.25
6/21/2016 16:00:00,2088.9
6/22/2016 16:00:00,2085.45
6/23/2016 16:00:00,2113.32
6/24/2016 16:00:00,2037.41
6/27/2016 16:00:00,2000.54
6/28/2016 16:00:00,2036.09
